index,loss
1,0.064279
2,0.065003
3,0.072063
4,0.058029
5,0.062501
6,0.062970
7,0.059640
8,0.059267
9,0.073166
10,0.070726
11,0.082860
12,0.063703
13,0.064533
14,0.073921
15,0.067002
16,0.104437
17,0.053211
18,0.098848
19,0.054368
20,0.065455
21,0.172260
22,0.238855
23,0.167253
24,0.082993
25,0.095082
26,0.099487
27,0.104709
28,0.094369
29,0.063657
30,0.137354
31,0.115641
32,0.057525
33,0.032678
34,0.114667
35,0.073018
36,0.126096
37,0.156470
38,0.051854
39,0.068971
40,0.035933
41,0.051101
42,0.074373
43,0.051462
44,0.118471
45,0.043650
46,0.059662
47,0.142894
48,0.032673
49,0.065297
50,0.088172
51,0.087193
52,0.274813
53,0.075911
54,0.032238
55,0.067115
56,0.230578
57,0.026337
58,0.049382
59,0.081119
60,0.044144
61,0.082515
62,0.040644
63,0.058462
64,0.039496
65,0.107715
66,0.024330
67,0.054648
68,0.036567
69,0.073275
70,0.014237
71,0.047228
72,0.062328
73,0.060293
74,0.086181
75,0.043560
76,0.035347
77,0.046157
78,0.033534
79,0.041047
80,0.093710
81,0.058749
82,0.288840
83,0.050480
84,0.041239
85,0.024222
86,0.028824
87,0.022274
88,0.049802
89,0.061217
90,0.016940
91,0.011106
92,0.020484
93,0.023743
94,0.019257
95,0.035449
96,0.044976
97,0.041468
98,0.037644
99,0.350538
